YEAR,2548,2549,2550,2551,2552,2553,2554,2555,2556,2557
North,"1,314","1,496","1,262","1,360","1,135","1,263","1,738","1,282","1,328","1,149"
Northeast,"1,212","1,432","1,452","1,517","1,364","1,299","1,661","1,261","1,456","1,343"
Central,"1,211","1,333","1,167","1,277","1,279","1,254","1,374","1,247","1,222","1,020"
East,"1,657","1,993","1,668","1,937","1,783","1,738","2,037","1,920","2,236","1,617"
South North,"1,937","2,393","2,465","2,215","2,320","2,309","2,889","2,903","2,769","2,536"
South East,"1,677","1,833","1,953","1,931","1,812","1,987","2,529","2,082","2,107","1,882"
